type_location,adresse,prix_par_mois,details,description,supplements
Location Appartement,Suresnes (92150),1.365 €,3 pièces 2 chambres 55 m²,"Disponible au 1er Novembre
Superbe appartement de 55 m2 avec balcon, parking voiture et cave en sous-sol.
Très bon état dans une belle résidence de standing de 2011.
Raccordé à la fibre haut débit pour le télétravail !
Situé au 1er étage avec ascenseur, Exposition Est, Sud/Est, balcon.

Séjour avec cuisine équipée
2 chambres (chambre parentale de 12 m2 avec dressing et chambre enfant ou bureau de 9m2)
Armoire rangement dans couloir.
1 salle de bains avec meuble et fenêtre emplacement pour lave linge)
1 wc indépendant avec un placard
1 parking voiture en sous-sol.
1 cave.
Chauffage électrique, ballon eau chaude 200 litres.

Localisation :
Quartier Liberté - Mont Valérien
Proche Mont Valérien, la Défense à 15 min à pied
Bus 360, 141, 157 proche de la résidence
Lycée, Ecoles, Crèches, Tram, Gare RER Transilien à 10/12 min à pied.",| Belvédère| Suresnes-Mont-Valérien| Puteaux
Location Appartement,Rosny-sous-Bois (93110),890 €,2 pièces 1 chambre 27 m²,"Disponible !
Situé rue du Général Leclerc à 7 min de la gare, F1 /2 pièces de 27M2
très lumineux dans une petite copropriété très bien entretenue et calme, au 1 étage sur 2 étages avec un ascenseur, comprenant une entrée donnant sur:
- une grande salle de bains avec baignoire + wc
- un espace avec cuisine aménagée ouverte sur espace de restauration table haute et deux chaises
- une grande chambre avec grand balcon, wifi, canapé lit commode table basse.
Une cave au sous-sol complète l'appartement et il dispose également.
Pas de parking.

Avantages:
A moins de 7 minutes à pied ligne droite:
Gare, boulangerie, épicerie, couturier, la poste, tabac, bars, restaurants, coiffeur, école et commerces (alimentations, fromager, opticien, banques, assurances, laboratoires, medecins, boucherie, lieux de cultes...)

Chauffage et eau chaude électrique individuel
Loyer mensuel 890€ dont 100€ de provision sur charges (copro + eau froide).
Caution: 2 mois de loyer

Conditions:
CDI + si possible revenus 3 fois le montant du loyer

Garantie Visale de préférence !

Idéal pour couple ou personne seule
Premier contact sur l'application.
Merci de me transmettre un récapitulatif de votre situation personnelle et professionnelle (quelques lignes de motivation) votre mail et numéro de téléphone.
Dossier complet demandé lors de la visite :
Carte d'identité
Trois dernières fiches de paie
Dernier avis d'imposition
Dernière quittance de loyer
autres docs motivant
Visite en semaine à partir de 18h30 ou le week-end samedi et dimanche.",
Location Appartement,Nanterre (92000),1.950 €,4 pièces 3 chambres 81 m²,"Nanterre Préfecture - La Défense Parc.
Appartement meublé de 4 pièces sur 81,3 m² comprenant :
Séjour 29,2 m², cuisine équipée, couloir, 3 chambres, salle de bains, wc, de nombreux placards, 3 balcons dont deux vitrés et un parking souterrain.

Au septième étage d'un immeuble de 20, il est calme, clair et en bon état.

Situé à proximité d'emplois, d'espaces verts, de crèches, d'écoles, de commerces, d'administrations, du quartier Seine-Arche et des transports en commun (quelques meubles ont changé sur les photos)
Appartement sera disponible le 1er octobre.

Une garantie des loyers impayées sera demandée.",| Nanterre - Préfecture| La Défense| Nanterre - Université
Location Appartement,Paris 17e (75017),1.600 €,2 pièces 1 chambre 59 m²,"Appartement Porte de Clichy desservi par le métro ligne 13 et 14, R.E.R. C, tramway.
T3 au second étage. Vue dégagée. Une chambre + un salon-salle à manger.

Libre fin octobre.
Loyer 1.450 E/mois + 150 E charges.",| Porte de Clichy| Brochant| Pont-Cardinet
Location Appartement,Saint-Germain-en-Laye (78100),740 €,1 pièce 22 m²,"Quartier très recherché. Situé en hyper centre, à 1 min du RER et de la place du marché.
Vivez l'ambiance et les facilités du cœur de Saint-Germain-en-Laye.

Immeuble rénové avec accès sécurisé. Très beau studio, plein de charme, 22 m2 : porte d'entrée blindée, pièce principale, salle de bains avec douche, toilettes, placard/buanderie, parquet, cuisine américaine équipée avec grand bar, évier, réfrigérateur, plaques de cuisson, mobilier de rangement. Grande hauteur sous plafond, très ensoleillé.

Immeuble avec fibre. Eligible APL.

Loyer : 740 €/mois charges comprises.",| Saint-Germain-en-Laye| Saint-Germain-en-Laye - Grande-Ceinture| Gare de Saint-Germain-en-Laye - Bel-Air - Fourqueux
Location Appartement,Paris 12e (75012),1.340 €,1 pièce 29 m²,"Confortable studio meublé refait à neuf par un architecte décorateur (en novembre 2017) de 29 m², très calme, lumineux, au deuxième étage avec ascenseur, immeuble de bon standing situé rue de Picpus, à 50 m du Métro Michel Bizot (ligne 8).

Entièrement équipé l'appartement comprend :
- une entrée indépendante ;
- un séjour / chambre dans le gout d'une suite d'hôtel : écran plat, bureau, coin salon, literie de marque haut de gamme avec sommier coffre de rangement 160 x 200 cm (matelas et sur-matelas) ; linge lit en lin fournis
- une grande cuisine équipée, véritable pièce à vivre permettant de dîner à 4 personnes comprenant : Table Fermob et 4 chaises, Micro-ondes, four, plaques à induction, lave vaisselle, lave linge, réfrigérateur, congélateur, machine Nespresso, toaster, bouilloire, vaisselle...
- une salle de bains équipé d'un lavabo, wc, douche, porte serviettes de bain, placard ;
- un dressing comprenant des étagères, tringles, fer à repasser, table à repasser, boites de rangement...

Ce Studio offre un confort maximal, idéal pour un professionnel nomade, l'appartement est situé à 50m du métro Georges Bizot et à 10 minutes de la Gare de Lyon dans un quartier agréable à proximité du Parc de Vincennes et de la Coulée Verte à quelques encablures.

L'immeuble est très calme et protégé par un digicode, une gardienne et un interphone.

Le montant de la location s'élève à 1250 Euros hors charges par mois. Les charges (provision de 90 € / mois) comprennent : le chauffage central, l'eau froide et l'eau chaude, l'entretien de l'immeuble et les charges générales de copropriété.

Un dépôt de garantie de 2.500 Euros est demandé à la signature du bail.

Disponible

Visite sur rendez-vous, merci de me contacter pour connaître la liste des pièces à fournir.

Loyer : 1250 E + charges 90 E",| Michel Bizot| Bel-Air| Daumesnil (Félix Éboué)
Location Appartement,Saint-Denis (93200),790 €,2 pièces 1 chambre 25 m²,"200 m RER B La Plaine-Stade de France et 15 mn Châtelet.

2 pièces meublé (T1), 25 m², rue Cristino Garcia.
Chambre/salon avec fenêtre.
Cuisine séparée avec fenêtre, équipée électroménager neuf (réfrigérateur, lave-linge séchant, lave-vaisselle, plaques vitrocéramique, four...).
Toilettes, douches, séparées.
Au 2è et dernier étage, clair et calme. Dans petite copropriété. Porte blindée.

Libre.
Parfait pour étudiant(e) et jeune couple, moyenne durée acceptés. Colocation non possible.
Garanties demandées.

Loyer : 790 E charges comprises.
Contact par mail de préférence avec les renseignements essentiels. Ensuite dossier complet demandé.",| La Plaine - Stade de France| Stade de France - Saint-Denis| Front populaire
Location Appartement,Boulogne-Billancourt (92100),1.090 €,2 pièces 1 chambre 31 m²,"Appartement meublé et équipé (four, micro-ondes et lave linge) en plein cœur de Boulogne Billancourt à 150 mètres du métro Marcel Sembat ligne 9. 5ème étage sans ascenseur. Résidence propre avec gardien. Lumineux. Silencieux.
Cave.

Commerces à moins de 5 min :

Centre commercial Les Passages, Boulevard Jean Jaurès, La Poste, Commissariat, bibliothèque, Cinéma, Station velib.

Disponible immédiatement.",| Marcel Sembat| Billancourt| Boulogne - Jean Jaurès
Location Appartement,Vitry-sur-Seine (94400),530 €,1 pièce 1 chambre 22 m²,"1 chambre à louer dans une colocation de 3 personnes avec 2 déjà en place. Disponible à partir de mi-octobre 2022.
Appartement de 65 m², entièrement meublé, excellent état.

Résidence fermée, avec gardien, dans un quartier résidentiel, rue Gabriel Péri.
Baigné de soleil, très calme, au 1er étage sur jardin, sans vis-à-vis.

Appartement comprenant :
- salon avec balcon (avec chaises et table)
- 3 chambres aménagées, toutes les chambres équipées de lits simples dépliables en vrais lits doubles
- cuisine entièrement équipée (four, plaques, grand réfrigérateur/congélateur, machine à laver),
- entrée avec grand dressing, salle d'eau, wc indépendants.
- Balcon.
Toutes les pièces sont équipées de double vitrage.

Situé en centre-ville, appartement proche des commerces, écoles, parcs et hôpital. Bus 182, 172 et 180 à 1 mn en sortant de la résidence.

Gare RER C Vitry-sur-Seine à 8 mn à pied et métro ligne 7 Mairie d'Ivry à 10 mn en bus 182.
Parquet au sol et mobilier en très bon état.

Possibilité de parking gratuitement soir et week-ends dans la résidence et/ou location de box.
Loyer charges comprises. APL possible.",| Vitry-sur-Seine| Les Ardoines| Maisons-Alfort-Alfortville
Location Appartement,Asnières-sur-Seine (92600),790 €,1 pièce 21 m²,"Asnières/Courbevoie. Bel emplacement, à deux pas de la gare d'Asnières.

Studio de 21 m2 très lumineux et sans vis-à-vis, au 4ème étage avec ascenseur d'un bel immeuble bien entretenu.
Comprenant : entrée, séjour avec parquet au sol, cuisine équipée séparée, salle de bains avec wc, rangements.

Proche des commerces et commodités.",
Location Appartement,Paris 17e (75017),1.290 €,2 pièces 1 chambre 35 m²,"Au cœur du 17e arrondissement dans immeuble Haussmannien en pierre de taille.
Venez découvrir ce grand deux pièces, idéal couple, composé d'une entrée , Une cuisine séparée , un grand séjour , une chambre en enfilade et une salle d'eau.

1er étage avec ascenseur. Un vrai coup de cœur.

Métro Brochant à 5 min à pied, restaurants, commerces de proximité (Franprix carrefour etc..) nombreux Bus reliant l'Opéra et les Champs-Elysées en moins de 20 min.

Si vous aimez le charme des immeubles parisien alors n'hésiter pas à me contacter. Créneau de visite cette semaine uniquement sur rendez-vous.",| Brochant| Porte de Clichy| Guy Môquet
Location Maison,Champagne-sur-Oise (95660),950 €,2 pièces 1 chambre 50 m²,"Maison indépendante située dans un centre ville.
Son emplacement lui donne un accès rapide à tous les commerces de premières nécessités (épicerie, pharmacie, boulangerie,...).

Une gare (ligne H) se trouve à 5 min à pied.

Au rez-de-chaussée du logement, vous disposerez d'une grande pièce à vivre et d'une cuisine ouverte équipée d'un ilôt central.
L'ensemble a entièrement été rénové (carrelage, chauffage, murs, meubles cuisine, ...).

A l'étage se trouve une grande pièce aménageable en chambre et d'un coin bureau si besoin.
Le luminosité de cette pièce est un plus ainsi que la vue sur notre campagne.
Au même niveau vous aurez la salle d'eau (douche + emplacement pour lave linges).

Il s'agit d'une maison typique du Vexin car elle présente des pierres et poutres apparentes.
A proximité vous pourrez profiter des espaces verts de la commune ainsi que les bords de l'Oise pour une petite randonnée: la nature est à 2 pas!

Pour tout complément d'information, n'hésitez pas à me contacter.",
Location Maison,Colombes (92700),1.200 €,2 pièces 1 chambre 50 m² Terrain 55 m²,"En centre-ville - rue de la Reine Henriette.
Dans une ancienne école communale entièrement restaurée et pleine de charme, jolie maison neuve de plein pied de 50 m2 donnant sur un jardin de 55 M2. Intérieur neuf et meublé avec une chambre et des prestations de grande qualité (cuisine américaine équipée, lave-linge, TV, …).

Une petite copropriété, avec cour intérieure, calme et ensoleillé. Proche transports (Gare : 10 min de St Lazare, nombreux bus) et commerces.
.
Dépôt de garantie : 1.800 €",| Stade Yves du Manoir| Colombes| Ile Marante
Location Appartement,Sainte-Geneviève-des-Bois (91700),1.000 €,2 pièces 1 chambre 59 m²,"Un beau rez de jardin dans une maison.
Un deux pièces refait à neuf, meublé literie salon cuisine salle de bain neufs.
Loyer 1000 euros, charges compris pour une personne.
Possibilité de parking.
À cinq minutes de la gare RER C.
Deux minutes de tous commerces.",| Sainte-Geneviève-des-Bois| Saint-Michel-sur-Orge| Epinay-sur-Orge
Location Appartement,Nanterre (92000),1.400 €,2 pièces 1 chambre 55 m²,"Résidence Central ParcC, 122 Rue Salvador Allendé, Nanterre Préfecture 92000.
Appartement T2 bien agencé, très propre et totalement meublé de 55 m² carrez (+ 2,5 m² Loggia) composé d’un Hall d’entrée avec 2 placards (parquet), d’un séjour en L (parquet) avec petite Loggia/Balcon, une chambre (moquette) Lit Double + Dressing, une cuisine équipée (Vaisselles, Four Micro-ondes, Cuisinière, Frigo, Lave-Vaisselle, etc.), une salle de bain/Baignoire/Machine à laver séchante et wc indépendant.
Equipement total : TV LCD, Aspirateur, Buffet, Armoire, Table + Chaises Salon et Cuisine, Canape lit, table basse, Fer et table à repasser, etc…
5ème étage, Très lumineux et vue dégagée, Exposé Sud Est, Deux ascenseurs.

Grand Box fermé et sécurisé pour voiture 1er sous-sol et Cave saine sécurisée 2ème sous-sol.

Résidence Arborée avec loge de gardiennage, Vidéosurveillance, Digicode et interphone.

Immeuble au pied du Parc André Malraux, à 100 m du RER A Nanterre Préfecture et à proximité immédiate de l’Arche de la Défense, de l’Arena Stadium et de la future Gare Eole (2023).
Toutes commodités à proximité, l’appartement est à 15 mn en voiture de la place de l’étoile (Paris) car proximité immédiate du boulevard circulaire de la Défense.

Pas de colocation et Dossier solide demandé.
Loyer de 1400 € par mois, charges comprises (200 €).
Charges incluses : Eau C/F, chauffage collectif, Taxe d’enlèvement des Ordures ménagères, Partie communes Int/Ext.
Régularisation annuelle si consommation excessive Eau chaude et Froide (compteurs individuels).
Disponible 1er octobre 2022.
Dépôt de garantie : 2 mois de loyer hors charges.",| Nanterre - Préfecture| La Défense| Nanterre - Université
Location Appartement,Corbeil-Essonnes (91100),1.090 €,3 pièces 2 chambres 66 m²,"Appartement F3 refait à neuf (en 2019 : électricité plomberie refait à neuf - peintures neuves) de 66 m² situé au 1er étage avec vue sur le jardin intérieur, avec ascenseur, dans une résidence privée et sécurisée (interphone à caméra) et présence d'un gardien.

L'appartement est actuellement occupée jusqu'au 30 Octobre 2022, mais possibilité de le visiter avant cette date. Date d'entrée prévue du nouveau locataire: 1 Novembre 2022

Il comprend :
-entrée,
-séjour,
-2 chambres,
-cuisine,
-salle de bains,
-wc séparés,
-dégagement avec placards,
-loggia de 5m2,
-séchoir,
-cave,
-parking attitrée au sein d'un garage privatisée (bip d'entrée) et sécurisée par des caméras.

L'appartement est situé au pied des commerces et à deux pas d'une école et du Centre Hospitalier Sud-Francilien. A 10 min à pied de la gare de Corbeil Essonnes. Arrêt de bus au pied de l'immeuble.

Gares à proximité:
• Corbeil-Essonnes
• Essonnes - Robinson
• Le Bras de Fer - Évry - Génopole

L'eau chaude et le chauffage sont collectifs et sont inclus dans les charges.

Loyer nu : 1000 €/mois + charges 90 € dont (eau, ménage parties communes, espaces verts, gardien).
1 mois dépôt garantie.

Dossier complet demandé lors de la visite pour chaque adulte signant le bail de location :
- CDI,
- Une attestation employeur est demandée pour confirmer que vous n'êtes ni en période d'essai, ni en période de fin de contrat,
-6 anciennes quittances de loyer,
-3 dernières fiches de paie,
-Dernière fiche d'imposition,
-Garant obligatoire.",| Essonnes - Robinson| Corbeil-Essonnes| Le Bras de Fer - Évry - Génopole
Location Appartement,Versailles (78000),800 €,2 pièces 1 chambre 22 m²,"Appartement T2 meublé de 22m² refait à neuf au rez-de-chaussée dans un immeuble de deux étages. Triple couchages. Très lumineux et bonne isolation thermique. Libres dès maintenant.
5 min à pied de la Gare Versailles Chantiers et Gare Versailles Rive Gauche. Commerces, Bus à proximité.

Description :
Salle de séjour avec 1 lit escamotable 140x190 cm canapé intégré. Bureau et TV.
Cuisine Américaine équipée et lave-linge.
Petite chambre avec 1 lit escamotable bureau intégré (90x190 cm).
Linges de maison fournis.
Salle de bains comprenant cabine de douche, lavabo et wc.
Chauffage électrique.
Connexion internet en fibre possible.

Loyer 780 €/mois + Charges 20€/mois = 800€/mois (sans électricité ni internet).
Garant et caution de deux mois de loyer hors charges.",| Versailles - Chantiers| Versailles - Rive Gauche| Versailles - Rive Droite
Location Maison,Saulx-les-Chartreux (91160),1.620 €,6 pièces 4 chambres 125 m² Terrain 115 m²,"Maisons accolées de 6 pièces, en très bon état dans un secteur très privilégié (hors couloir aérien).
Situé à 300 m de la forêt domaniale et d'une prairie.
Proximité des commerces (1.8Kms centre commercial de la ville du bois)

Transport proche de Saulx-Les-Chartreux
RER Longjumeau
RER St Geneviève des bois
RER/TGV Massy/Palaiseau
Aéroport Orly 20 Minutes en voiture.

Situé à 300 m de la forêt domaniale et d'une prairie.
Plus d'info sur le site de la mairie de Saulx-les-Chartreux.

Rez-de-jardin : Entrée, wc suspendu, garage 25 m² + 22 M2 de place de stationnement close dans la parcelle) et une salle de jeux avec carrelage 25 m²

Rez-de-chaussée : Séjour avec carrelage 40 m² et 1 terrasse-6 M2 au sud vue sur la plaine et terrasse de 24 m2 avec jardinet, Cuisine avec carrelage équipée avec four, hotte et plaque de cuisson surface 10 m²

Étage : 3 Chambres avec carrelage, salle de bains, baignoire, meubles et wc suspendu.

Maison très économe en énergie Pompe à Chaleur avec plancher chauffant rafraîchissant.
Menuiserie aluminium avec volets roulant électrique sur l'ensemble de la maison sauf velux.
La rue est équipée de la fibre.

Étude thermique lors de la réalisation Classement CEP B et GES A classement THPE ENR (Très haute performance énergétique, énergie renouvelable).

Les communes et villages les plus sont Champlan à 1.87 km, Longjumeau à 2.23 km, Villejust à 2.50 km, Ballainvilliers à 2.54 km, Palaiseau à 3.04 km, Villebon-sur-Yvette à 3.04 km, Ville-du-Bois à 3.49 km, Chilly-Mazarin à 4.00 km, Nozay à 4.08 km et Villiers-sur-Orge à 4.48 km. Massy à 4.50 km. Morangis à 4.65 km
(les roches de Saulx-les-Chartreux).

Louer en direct par le propriétaire, Dossier, contrôlé par Assurance loyer impayé (sans leur accord pas de location).
Disponibilité au 1 octobre 2022.",| Palaiseau - Villebon| Longjumeau| Lozère
Location Appartement,Vitry-sur-Seine (94400),530 €,1 pièce 1 chambre 22 m²,"1 chambre à louer dans une colocation de 3 personnes avec 2 déjà en place. Disponible à partir de mi-octobre 2022.
Appartement de 65 m², entièrement meublé, excellent état.

Résidence fermée, avec gardien, dans un quartier résidentiel, rue Gabriel Péri.
Baigné de soleil, très calme, au 1er étage sur jardin, sans vis-à-vis.

Appartement comprenant :
- salon avec balcon (avec chaises et table)
- 3 chambres aménagées, toutes les chambres équipées de lits simples dépliables en vrais lits doubles
- cuisine entièrement équipée (four, plaques, grand réfrigérateur/congélateur, machine à laver),
- entrée avec grand dressing, salle d'eau, wc indépendants.
- Balcon.
Toutes les pièces sont équipées de double vitrage.

Situé en centre-ville, appartement proche des commerces, écoles, parcs et hôpital. Bus 182, 172 et 180 à 1 mn en sortant de la résidence.

Gare RER C Vitry-sur-Seine à 8 mn à pied et métro ligne 7 Mairie d'Ivry à 10 mn en bus 182.
Parquet au sol et mobilier en très bon état.

Possibilité de parking gratuitement soir et week-ends dans la résidence et/ou location de box.
Loyer charges comprises. APL possible.",| Vitry-sur-Seine| Les Ardoines| Maisons-Alfort-Alfortville
Location Appartement,Saint-Maur-des-Fossés (94100),1.180 €,2 pièces 1 chambre 36 m²,"Rue Garibaldi, situé quartier Adamville limite La Varenne-Les Mûriers.

2 pièces 36m2 en duplex avec 16 m2 terrasse entièrement refait à neuf (électricité, peinture, cuisine, salle de bain...) dans copropriété sécurisée et rénovée.
Rez-de-chaussée : séjour, cuisine aménagée et équipée (meubles, hotte, four et plaques), placard.
A l'étage : chambre, salle d'eau (grande double vasque, douche et wc)
Chauffage électrique programmable, double vitrage, bonne isolation thermique et phonique.

Les plus : terrasse, de grandes baies vitrées pour laisser entrer la lumière, à 5 min à pied des bords de Marne et des installations sportives.

Loyer 1.100 E + 80 E charges. Dépôt de garantie : 1.110 E.

Libre de suite, à visiter à partir du samedi 10 septembre avec le dossier complet demandé.

Pour tous les candidats :
1. Copie de carte identité / passeport du ou des candidats
2. Dernier avis d’imposition revenu 2021 établi en 2022 du ou des candidats
3. Justificatif de domicile
4. 3 quittances de loyer de la dernière location ou attestation d’hébergement
5. Identité et bulletins de salaires du ou des garants (ou avis d’imposition revenu 2021 établi en 2022)

Pour les salariés :
6. 3 derniers bulletins de salaire qui affichent un salaire net de 3 fois supérieur au loyer de 1100€
7. Attestation d’employeur de moins de 3 mois ou copie du contrat de travail signé.

Pour les professions libérales
8. Extrait K-BIS de moins de 1 mois
9. 2 derniers bilans.

Agence immobilière s'abstenir.",| Le Parc de Saint-Maur| Saint-Maur - Créteil| La Varenne - Chennevières
Location Appartement,Levallois-Perret (92300),2.090 €,3 pièces 2 chambres 59 m²,"Appartement loué meublé, baigné de lumière, orienté sud-ouest avec terrasse de 18m2 donnant sur salon et chambre parentale, dans un immeuble de construction récente.
Intérieur refait par architecte avec mobilier sur mesure.
2 chambres offrant dressing et placards intégrés.
Cuisine équipée.
Calme assuré avec vue dégagée.

Proche de toutes commodités (Commerces, marché, parc, piscine, écoles, métro, restaurants…).
Une place de parking complète ce bien.",| Clichy - Levallois| Anatole France| Pont de Levallois - Bécon
Location Appartement,Fontainebleau (77300),1.500 €,3 pièces 1 chambre 45 m²,"Exceptionnel - appartement très ensoleillé, face à l'Hôtel de Ville, à 2 pas du château, de l'église Saint-Louis, du Monoprix, du marché, à 50 mètres du quartier piéton et des commerces du centre ville.

Salon séjour avec cuisine à l'américaine, chambre, dressing et salle de douche, avec double exposition : 3 fenêtres plein sud, 1 fenêtre côté soleil couchant. Appartement très fonctionnel, très pratique, très accessible au 1er étage.

Appartement redécoré, avec beaucoup de soins, dont cuisine et salle de douche rénovées pour l'essentiel : frigo, micro-ondes avec combiné four, machine à laver linge, machine à laver la vaisselle, cafetière, sèche cheveux, chauffe eau.",| Fontainebleau - Avon| Vulaines-sur-Seine - Samoreau| Thomery
Location Appartement,Paris 15e (75015),2.900 €,3 pièces 2 chambres 88 m²,"Appartement refait à neuf dans quartier résidentiel, au 4ème étage avec ascenseur, vigik, interphone, concierge,
comprenant : une porte blindée, une entrée avec vestiaire, une cuisine équipée : frigidaire congélateur, une plaques vitrocéramiques, un four électrique, un lave vaisselle (tout en un), une hotte, un lave-linge séchage, de nombreux rangements, un garde-manger, une chaudière individuelle à Gaz, une porte de service blindée (escalier de service), un vidéophone. Un double séjour très ensoleillé, parquet vitrifié une grande bibliothèque,
de très grands placards, deux vitrines éclairées, étagères en glace, un espace TV, magnétoscope, un ensemble de cimaises ( pour vos tableaux), deux barres pour double- rideaux laiton doré.
Un couloir avec de nombreux rangements dessert l'espace de repos : une grande chambre avec placards et penderies, moquette anallergique neuve,une barre de rideaux laiton doré. Une salle de bain stylée, Un wc indépendant. Une 2ème chambre avec sa bibliothèque et sa salle de douche et un radiateur sèche serviettes. Tout l'appartement a été isolé et toutes les fenêtres sont en double vitrage. Une cave à vin avec rangements .
Possibilité Parking.
La Fibre est disponible.
Libre de suite",| Ségur| Sèvres - Lecourbe| Pasteur
Location Appartement,Fontenay-sous-Bois (94120),870 €,2 pièces 1 chambre 28 m²,"Dans petite résidence de 2011, à 5 min des RER A et E, des commerces et écoles,
Beau 2 pièces au 1er et dernier étage de 27.5m2 Loi Carrez et 38m2 au sol, composé de :
1 pièce principale avec cuisine ouverte aménagé, 1 chambre, salle d'eau/wc, 1 petite mezzanine
Exposition sud. Chauffage électrique,isolation intérieure et extérieure. Emplacement parking sous-sol.",| Val de Fontenay| Victor Hugo (Tram)| Neuilly-Plaisance
Location Appartement,Chaville (92370),1.190 €,3 pièces 2 chambres 42 m²,"Appartement traversant de 3 pièces d'environ 42 m2 (entièrement rénové) situé au 2ème étage d'une petite copropriété (limite Viroflay) près commerces et transports (bus 171, tram T2, T6, lignes N L, RER C)

Composé d'une cuisine équipée (plaque-hotte) ouverte sur séjour, 2 chambres côté jardin dont une avec dressing, salle de douche, chauffage individuel électrique (radiateurs à inertie).
Possibilité parking en sus.
Loyer : 1060 €/mois + 130 €charges.",| Chaville - Rive Gauche| Chaville - Vélizy| Chaville - Rive Droite
Location Appartement,Saint-Ouen (93400),690 €,1 pièce 1 chambre 11 m²,"Ceci est une annonce pour une colocation : dans un appartement se situant au 7ème étage avec ascenseur exposé sud-ouest
(grande luminosité) de 63m2.
L'appartement est composé de deux chambres, un salon avec cuisine ouverte, un balcon. Salle de bains et toilettes séparées. 1 chambre est déjà occupée par moi (femme de 30 ans), je cherche un/une colocataire pour occuper la deuxième chambre.

L'appartement est neuf et très agréable. Il se situe dans les Docks de Saint-Ouen quartier en plein développement juste en face du parc (métro ligne 13 et 14).

La chambre est louée 690 E toutes charges comprises, y compris : électricité, eau, internet et femme de ménage.

Chambre 11,5 m2 disponible fin 1er novembre.",| Mairie de Saint-Ouen| Saint-Ouen| Garibaldi
Location Maison,Mouroux (77120),950 €,4 pièces 3 chambres 66 m² Terrain 30 m²,"Exceptionnel de calme et de nature, situées dans une propriété de plusieurs hectares, à coté des biches et des cerfs, belles maisons récentes. Très bien située, c'est un havre de paix vraiment très reposant.
Terrasse, (cette maison fait en réalité 75 m² utiles), 2 parkings dans la cour.
- Rez-de-chaussée : salon grande baie vitrée, salle à manger cuisine,une pièce bureau, wc ;
- Étage 2 grandes chambres, salle de bains/wc.
Centre ville et toutes commodités, hôpital, écoles, ramassage scolaire, transports à proximité (à un kilomètre environ ...bus vers Marne la Vallée, SNCF)
(Animaux domestiques sous réserve : proximité élevage de cervidés.)
Revenus nécessaires (mini 3 fois le loyer) et Garants Exigés.
Gestion dossier par société sans frais supplémentaires.
Disponibilité immédiate.
Premier contact par mail avec justificatifs.
appel téléphone en permanence.",| Mouroux| Coulommiers| Faremoutiers - Pommeuse
Location Appartement,Saint-Ouen (93400),1.070 €,1 pièce 35 m²,"A 5 min de marche de la station gare Saint Ouen (métro ligne 14 et RER C) et à 6 min de marche de la station Mairie de Saint Ouen (métro lignes 13 et 14). Très beau studio lumineux de 35 m2, dans résidence neuve de haut standing (Octobre2021), richement meublé, comprenant une grande chambre avec un canapé coin convertible, une smart TV et une table bistrot, un dressing spacieux, une kitchenette bien équipée, un lave linge, une salle de bains avec douche. Résidence ultra sécurisée avec vigik et visiophone.
Loyer 1020€/mois + Provision pour charges 50€. Garantie : 2 mois de loyer.

Les charges comprennent le chauffage, l'eau chaude et l'eau froide ainsi que les frais afférents au locataire.
Disponible immédiatement. Seules Seront prises en considération, les demandes mentionnant le niveau des revenus.",| Garibaldi| Saint-Ouen| Mairie de Saint-Ouen
Location Maison,Champs-sur-Marne (77420),1.440 €,4 pièces 3 chambres 125 m² Terrain 260 m²,"Maison proche des bords de Marne à Champs bien placée proche des commerces et des écoles
4 pièces, 3 chambres avec 2 salles de bains, 1 cuisine complétement équipée ainsi que salle à manger et salon ouvert jardin et terrasse
entièrement rénovée

1 grande chambre parentale avec dressing.
1 chambre environ 17 m2 et
1 petite chambre env 10 m2 avec mezzanine.
Cellier et rangements, grand placard dans l'entrée

Loyer 1440€/mois hors charges.

Disponible début octobre 2022.
Colocation solidaire acceptée.
Dossier complet demandé lors de la visite.",| Chelles-Gournay| Noisy - Champs| Noisiel
Location Appartement,Orsay (91400),690 €,1 pièce 1 chambre 24 m²,"Chambre meublée en colocation.
Dans une belle maison neuve, quartier calme. Proche de la gare Orsay-Ville du RER B (10 min à pied), du centre-ville et ses commerces (7 min à pied), de l'université et des grandes écoles du campus Paris-Saclay (sites Orsay, Saclay, Bures, Gif, Palaiseau).

Chambres spacieuses de 24 m² en moyenne, jardin de 400 m², idéales pour la colocation, groupe de 6 étudiant(e)s, technicien(ne)s, ingénieur(e)s ou chercheur(e)s.

6 chambres meublées bois moderne (lit, chevet, commode, meuble bibliothèque, bureau et vaste placard intégré avec penderie). Chaque chambre possède sa salle de bains à l’italienne équipée et un wc.

Parties communes :
- Vaste salon avec canapé, table basse, meuble avec TV
- Salle à manger avec grande table pour 6 et grand buffet
- Cuisine équipée avec four, micro-onde, plaque de cuisson, hotte aspirante, réfrigérateur et table granit.
- Buanderie avec lave-linge, larges rangements, chaudière électrique confort et éco, adoucisseur d’eau Culligan (pour eau sans calcaire)
- Jardin avec grande terrasse carrelée

Equipement : fibre optique haut débit de 2 Gb/s, WiFi, TV Orange.",
