type_location,adresse,prix_par_mois,details,description,supplements
Location Appartement,La Croix-en-Brie (77370),800 €,2 pièces 1 chambre 27 m²,Appartement au rez-de-chaussée avec accès à personne à mobilité réduite. Parking. Equipé d'une terrasse.,| Nangis
Location Appartement,Paris 4e (75004),1.530 €,2 pièces 1 chambre 35 m²,"Charmant 2 pièces meublé, en plein cœur du Marais.
35 m2, 2ème étage. Très calme, sur cour, exposé sud. Nombreux rangements.
Immeuble 18ème, sécurisé, gardien et digicode extérieur + intérieur.

T2 comprenant :
- 1 Salon avec coin repas (table extensible pour 4 personnes), canapé
- 1 Cuisine américaine intégralement équipée
- 1 Chambre avec lit double, bureau, grand dressing de 3 mètres
- 1 Salle d'eau avec grande douche, coin buanderie.

Tout le mobilier et les équipements sont récents
(Réfrigérateur-congélateur, four pyrolyse, micro-ondes, plaques, hotte, lave-linge combiné sèche-linge, aspirateur, table et fer à repasser, vaisselle…)

- Chauffage individuel électrique avec programmateurs
- Double vitrage dans toutes les pièces
- Parquet
- Local annexe de rangement sur le palier

A proximité : Accès Métro à 10 mètres, tous commerces dans la rue. BHV à 50 mètres, Hôtel de Ville à 200 mètres.
Métros : 1, 11, 14, 4, 7 RER A ,B, C,D Bus 21, 67, 69, 72, 74, 76, 81, 85

Disponible à compter du 28/10/2022. Visites à compter du 25/10/2022.
Loyer : 1450 €/mois + 80 € de provision charges.
Sérieuses garanties demandées.
Contact par mail avec résumé de votre situation personnelle et/ou dossier",| Hôtel de Ville| Rambuteau (Centre Georges Pompidou)| Châtelet - Les Halles
Location Appartement,Paris 12e (75012),1.454 €,2 pièces 1 chambre 47 m²,"Grand 2 pièces entièrement meublé, 47m2. Au 1er étage d'un petit immeuble calme. Bon état, très clair, sans vis à vis.
Idéal colocation.
Très bien desservi par les transports publics :
- métro ligne 1, Porte de Vincennes, à 50 mètres,
- tramways T3a et T3b en face,
- RER A (Nation) à 5 minutes,
- 6 bus : 26, 64, 86, 501, 351 (Roissypole).

Entrée desservant toutes les pièces (principales et utilitaires),
2 belles pièces indépendantes (possible 2 chambres),
avec vrai parquet en chêne,
Grande cuisine équipée, four micro-ondes, réfrigérateur 2 portes,
Grande salle de bains avec baignoire et lave-linge, wc séparés,
Dressing.

Double vitrage partout. Vmc.

Interphone, Vigicode (badge).

Quartier agréable. Tous commerces.
Vélib et parking à vélos en face. Autolib à 50 mètres.

Visale et Garant acceptée.

Libre à partir du 1er octobre 2022. Visites individuelles, sur rendez-vous.
Loyer : 1294 E/mois + 160 E charges.
Merci d'appeler de 13h à 23h
Vous pouvez laisser un message et je vous rappelle",| Porte de Vincennes| Alexandra David-Néel| Saint-Mandé
Location Appartement,Paris 20e (75020),2.480 €,2 pièces 1 chambre 82 m²,"Quartier campagne à Paris. très Calme. Au 2e. Loft meublé, tout équipé. confortable, lumineux, 82 m2, traversant, refait à neuf en 2010.
Suite parentale ouverte en mezzanine avec SDB.
Rez-de-chaussée : hauteur sous plafond jusqu'à 5,60 m dans pièce à vivre de 45 m2 avec 20 m2 de Verrière, petit balcon, vue sur jardin en face.
Grande cuisine ouverte sur le séjour. Douche au rez-de-chaussée pour les invités. Canapé très confortable en lit.
Buanderie avec machine à laver.
Système audio Dynaudio // imprimante laser couleur. Double vitrage sécurisé, porte blindée.
Idéal couple sans enfant.
150 m métro ligne 3 et tous commerces.
2480 E/mois charges comprises.",
Location Appartement,Levallois-Perret (92300),890 €,1 pièce 24 m²,"Studio dans Immeuble 1996 de Standing / Quartier Front de Seine, proche rue de Villiers.
Métros à proximité : Pt Levallois et Anatole France.
Quartier très agréable avec commerces, restaurants, cafés néanmoins calme et lumineux avec vue jardin.
Commodités : Immeuble sécurisé, gardiennage dans l'immeuble pour dépose colis /Pièce pour boite aux lettres.
Visiophone dans studio .
Studio de 24 m2 tout confort au 5ème étage avec ascenseur :
- Entrée comportant grande penderie et 2 grandes étagères, portes vitrées.
-Accès séjour par porte double battant comportant 2 fenêtres avec volets roulants, sol moquette.
-Cuisine américaine sur sol carrelé, comprenant Placards hauts et bas sous évier, plaque électrique, hotte, réfrigérateur avec compartiment 3* / Alimentation pour MALinge / Ventilation.
-Salle de bain : Baignoire/Douche - pare douche, évier sur meuble à 2 grands tiroirs, wc, Ventilation.
Belle cave en sous-sol.
Les Provisions charges comportent : Charges générales de copropriété, chauffage collectif, eau froide,
eau chaude. La consommation électrique est non comprise.
Possibilité de parking en sous-sol en sus. Appartement en bon état d'entretien. Séjour et cuisine viennent d'être repeints.",| Pont de Levallois - Bécon| Anatole France| Louise Michel
Location Appartement,Bougival (78380),750 €,2 pièces 1 chambre 28 m²,"Centre ville Bougival, bord de Seine .
Studio mezzanine , 28 m2

1er étage sans ascenseur. Pas de parking. Pas de cave.
Niveau 1 : cuisine ouverte sur séjour, Salle d'eau Double wc,
Niveau 2 : 1 chambre en mezzanine,
nombreux rangements. visiophone.
Proximité transports, commerces, A86 La Défense.
Dossier complet demandé. Libre. 705 €/mois + 45 € de provision charges.

Proximité transports, commerces, bus 259, bus D et A86 La Défense.

Garantie et revenu 3 X loyer demandé, fournir dossier complet .

Contact uniquement par téléphone 06.17.11.88.58.

""Agence s'abstenir"" !!",| Louveciennes| Bougival| Chatou - Croissy
Location Appartement,Nanterre (92000),1.450 €,3 pièces 2 chambres 65 m²,"Bel appartement traversant T3 meublé, 65m² au 1er étage.

Cuisine équipée à 100%, grand séjour, balcon 3m² avec vues dégagées, 2 chambres spacieuses, wc séparés, nombreux rangements,1 place de Parking sous-sol.

Eau chaude/ Eau froide/chauffage collectif inclus dans les charges pour 250 euros par mois ( provision pour charges).
Parking en sus.

Meubles de haute qualité et neufs (lits et matelas jamais utilisés).

Commerces / Restaurants 5-8 min à pied. Marché de Colombes
Groupe scolaire.

Groupe scolaire (maternelle et élémentaires) mairie et bibliothèque du quartier en bas de la résidence.
Station de service 3 mn en voiture de la résidence

A86/A14 à moins de 4 min. La Défense 10 min en voiture, 15min en voiture ou tram T2
RER A : Nanterre Ville / Nanterre Université à moins de 10 min (20 mn a pied). arrêt bus 304 et 378 devant la résidence.

Dépôt de garanties obligatoires : 2 mois de loyers hors charges (2x1200 euros) (location meublé) ou 1 mois si location vide (1100 euros)
0€).
Colocation acceptée (2 personnes maximum).

Premier contact par mail uniquement, avec envoi d'une présentation par mail de votre situation personnelle est préconisée avant toute visite.. Un dossier complet vous sera impératif lors de la visite. Justificatifs de revenus de préférence.

Visites les week-ends.

Agence s abstenir.",| Parc Pierre Lagravère| Victor Basch| Nanterre - Université
Location Appartement,Saint-Maur-des-Fossés (94100),590 €,1 pièce 16 m²,"A découvrir, un charmant studio au deuxième étage d’une petite copropriété. Entièrement rénové il comprend un coin cuisine américaine partiellement équipée (plaque de cuisson et hotte), une pièce à vivre très lumineuse, bien orientée et donnant sur l’arrière de l’immeuble et sans vis à vis. Présence d'une salle d’eau avec douche et wc.
Emplacement pour machine à laver, et pour le frigo.

Libre de suite.
Loyer : 590 € / mois (charges comprises) Montant des charges : 45 € / mois.",| Le Parc de Saint-Maur| La Varenne - Chennevières| Saint-Maur - Créteil
Location Appartement,Le Vésinet (78110),750 €,2 pièces 1 chambre 26 m²,"Pied-à-terre, chambre meublée grand confort pour 1 personne seule, avec à disposition : une grande cuisine et terrasse 60m2 .

Le Vésinet, 10 min à pied RER A (Chatou ou Le Vésinet Centre)
Au 2e étage d'un hôtel particulier, chambre meublée grand confort 13 m², très belle literie, douche et wc privatifs. Entrée et escalier privatifs.
Grande cuisine équipée 13 m² et terrasse de 60 m².
La cuisine et la terrasse sont partagées avec un autre locataire.
Internet : fibre Orange très haut débit. A partager avec un autre occupant le cas échéant.
Parking extérieur sur voie publique gratuit
Parcs et rivières du Vésinet à 5 min à pied.
Idéal pied-à-terre pour personne seule.

Loyer, charges, entretien et ménage compris.
Revenus minimum vérifiable 2.900 € nets mensuels.
Caution 2 mois hors charges. Contrat de location.",| Le Vésinet - Centre| Le Vésinet - Le Pecq| Chatou - Croissy
Location Appartement,Paris 16e (75016),4.115 €,6 pièces 3 chambres 180 m²,"Muette Immeuble pierre de taille Au 2e étage avec ascenseur
Appartement standing : cheminées de marbre, miroirs et moulures, parquet -

Il comprend :
- une galerie desservant 3 pièces sur rue et une chambre sur cour avec salle de douches,
-2 chambres sur cour, une salle de bains, une cuisine et 2 wc.

Chauffage individuel au gaz (chaudière Frisquet 2016) Chauffe-eau électrique.
Très bon état.
SMS fortement souhaité",| Rue de la Pompe (Avenue Georges Mandel)| Avenue Henri Martin| La Muette
