"address","location/lat","location/lng","name","numberOfGuests","pricing/nights","pricing/rate/amount","pricing/rate/amountFormatted","pricing/rate/currency","pricing/rate/isMicrosAccuracy","pricing/rateType","pricing/totalPrice/accommodation","pricing/totalPrice/amount","pricing/totalPrice/amountFormatted","pricing/totalPrice/cleaningFee","pricing/totalPrice/currency","pricing/totalPrice/guestFee","roomType","stars","url"
"Paris, Île-de-France Region, France","48.84353","2.33115","Nid douillet à Saint Germain des prés","2","1","353","$353","USD","false","nightly","353","353","$353",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/30137151"
"Paris, Île-de-France, France","48.847","2.283","Chambre Superieure Romantique with wellness access","2","1","273","$273","USD","false","nightly","273","273","$273",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/25340860"
"Paris, Île-de-France, France","48.88025","2.31943","Jungle Fever - Junior Suite - avec Jacuzzi","2","1","393","$393","USD","false","nightly","393","393","$393",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/35637186"
"Paris, Île-de-France, France","48.8395","2.34469","Family Suites in hearth of Paris","4","1","466","$466","USD","false","nightly","466","466","$466",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/41746758"
"Paris, Île-de-France, France","48.88","2.32","Room w/ balcony center of Paris | Hotel New Orient","2","1","316","$316","USD","false","nightly","316","316","$316",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/52875598"
"Paris, Île-de-France, France","48.869","2.368","Nice Room with 2 single beds","2","1","271","$271","USD","false","nightly","271","271","$271",,"USD",,"Room in boutique hotel","4.5","https://www.airbnb.com/rooms/35144208"
"Paris, ., France","48.887","2.359","KUBE PARIS design & luminous room","2","1","374","$374","USD","false","nightly","374","374","$374",,"USD",,"Room in boutique hotel","4.5","https://www.airbnb.com/rooms/23575022"
"Paris, Île-de-France, France","48.87182","2.32411","Hôtel Folkestone Opéra*** Chambre Double Deluxe","2","1","452","$452","USD","false","nightly","396","452","$452",,"USD","56","Room in hotel",,"https://www.airbnb.com/rooms/46325356"
"Paris, Île-de-France, France","48.872","2.309","Chambre cosy et luxueuse","2","1","398","$398","USD","false","nightly","398","398","$398",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/35359292"
"Paris, Île-de-France, France","48.867","2.358","❤️ Chambre avec Patio","2","1","266","$266","USD","false","nightly","266","266","$266",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/51300999"
"Paris, Île-de-France, France","48.881","2.299","★ Super Romantic Room","2","1","268","$268","USD","false","nightly","268","268","$268",,"USD",,"Room in boutique hotel","4.5","https://www.airbnb.com/rooms/35178663"
"Paris, Île-de-France, France","48.85757","2.28044","Chambre Quatro","4","1","416","$416","USD","false","nightly","416","416","$416",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/51530759"
"Paris, France","48.885","2.294","Camaraderie","2","1","268","$268","USD","false","nightly","268","268","$268",,"USD",,"Room in hotel","4.5","https://www.airbnb.com/rooms/26407423"
"Paris, Île-de-France, France","48.869","2.368","Family Room for 3 people","3","1","317","$317","USD","false","nightly","317","317","$317",,"USD",,"Room in boutique hotel","4.5","https://www.airbnb.com/rooms/35144210"
"Paris, France","48.8535","2.3314","Chambre pour 2 (lits jumeaux) en plein Paris","2","1","336","$336","USD","false","nightly","336","336","$336",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/26762618"
"Paris, Île-de-France, France","48.876","2.295","Chambre Supérieure Twin, Magda Champs Elysées","2","1","396","$396","USD","false","nightly","396","396","$396",,"USD","0","Room in boutique hotel",,"https://www.airbnb.com/rooms/42658711"
