type,adresse,prix,details,description,supplements
Vente Appartement,NaN,315.000 €,NaN,,| Issy - Val de Seine| Jacques Henri Lartigue| Issy
Vente Maison,Bagneux (92220),650.000 €,5 pièces 3 chambres 122 m² Terrain 160 m² 5.328 € le m²,"Pavillon année de construction 1932, surface habitable: 122 m2, comprenant :

- Au sous-sol, une chambre, une salle d'eau, une cuisine d'été.
- Au rez-de-chaussée, un séjour, une chambre, une cuisine aménagée, un wc.
- A l'étage, une chambre, une salle d'eau avec wc, un coin bureau

Chauffage au gaz : chaudière, toiture et ravalement récent.
Double vitrage.

Une cave, un jardin avec terrasse.
Garage atelier 14 m2.

Taxe foncière: 1 325 €/an.

Rue pavillonnaire située à 10 min à pied RER Bourg-la-Reine et des bus menant à la porte d'Orléans.
Proches commerces et écoles.",
Vente Appartement,Nogent-sur-Marne (94130),200.000 €,2 pièces 1 chambre 29 m² 6.897 € le m²,"Nogent sur Marne (94)
Appartement de 2 pièces d'une surface de 29 m2 situé au 3ème & dernier étage d'une petit copropriété ancienne (immeuble en meulières) situé rue de Plaisance.
Petite entrée séparée, petit séjour très lumineux (exposé Sud-Ouest) et sans aucun vis-à-vis, chambre lumineuse & calme également exposée Sud-Ouest, cuisine séparée, salle d'eau avec douche, lavabo & wc.
à rafraîchir.",| Nogent le Perreux| Val de Fontenay| Nogent-sur-Marne
Vente Appartement,Paris 16e (75016),600.000 €,2 pièces 1 chambre 52 m² 11.538 € le m²,"Paris 16è Quartier Jasmin/Docteur Blanche.
Charmant 2 pièces, calme, soleil, plein sud, vue dégagée sur hôtels particuliers, 51.73 m2 en parfait état, 1 séjour, 1 chambre, salle de bains, wc séparés, cuisine équipée, nombreux placards, belle hauteur sous plafond, parquet, moulures, bon plan, rez-de-chaussée surélevé en retrait de la rue sur verdure.
Très bel immeuble 1918 en pierre de taille, sécurité absolue, code, gardienne, interphone, double vitrage, cave, possibilité professions libérales.",| Jasmin| Ranelagh| Michel-Ange - Auteuil
Vente Appartement,Clichy (92110),295.000 €,3 pièces 2 chambres 39 m² 7.564 € le m²,"A 3 min à pieds du Métro Mairie de Clichy (ligne 13) et diverses lignes de bus aux pieds de l'immeuble .
Cet appartement T2 de 39m² rare sur le secteur, est situé sur le boulevard Jean Jaurès, au deuxième étage d'une petite copropriété .

Proche de toutes commodités transports et commerces, ce bien comprend :
1 Séjour/cuisine,
1 Grande chambre avec placard,
1 Bureau pouvant servir de chambre d'enfant,
1 Salle de bain,
1 WC séparé
1 Entrée avec serrure 4 points
+ 1 cave.

Fenêtres Double vitrage.
Isolation des murs par l'intérieur
Chauffage électrique.
Charges : 92 euros par mois
Taxe foncière : 270 euros par an


Agences s'abstenir",| Mairie de Clichy| Clichy - Levallois| Asnières-sur-Seine
Vente Appartement,Montreuil (93100),380.000 €,5 pièces 3 chambres 100 m² 3.800 € le m²,"A 15 min de Paris. Proximité de tous commerces & commodités : Centre Commercial Bel-Est / métro Gallieni à quelques min. 2 min à pied parc des Guilland. Face tribunal administratif en construction.

Situé au 3ème étage sur 10 d'une copropriété avec ascenseur moderne.

Appartement T4 - T5 de 100 m2, très calme, lumineux & traversant, il se compose d'une entrée indépendante ouvrant sur un double séjour (salon / salle à manger ou possibilité 4ème chambre) avec accès au balcon par portes fenêtres coulissantes, une cuisine équipée séparée, trois chambres (dont deux donnent sur un balcon commun - l'autre sur le même balcon que le double séjour).
Nombreux rangements : un espace dressing, un cagibi, ainsi qu'une salle de bains et un wc indépendant. Chauffage gaz.

Un parking couvert. Une cave complète le bien.


Charge copropriété : 4400 E (eaux froide et chaude, chauffage, gardien etc)",| Mairie de Montreuil| Croix de Chavaux (Place Jacques Duclos)| Gallieni (Parc de Bagnolet)
Vente Appartement,Courbevoie (92400),348.000 €,3 pièces 2 chambres 50 m² 6.960 € le m²,"À Courbevoie centre, appartement 3 pièces, 2 chambres, 50m2.

Immeuble bien entretenu avec gardienne.
Au calme, dans une cour/jardin intérieur.

Cave saine. Local à vélo.

L'appartement est constitué de 3 pièces avec entrée, couloir, salle de bains et wc séparés, espace rangements.
Beau parquet.

Très proche transports, commerces, écoles.
Charges environ 780/trimestre, chauffage compris.
Quelques travaux à prévoir.",| Courbevoie| Faubourg de l'Arche| Les Fauvelles
Vente Appartement,Saint-Cloud (92210),547.000 €,2 pièces 1 chambre 64 m²,"Dans une résidence de standing , proche de toutes les commodités(tramway Les Milons,
SNCF, bus, écoles, crèches, hopital et commerces).

Très beau 2 pièces de 64,31 m2 donnant sur une belle terrasse de 14 m2 avec vue sur Paris.

Il est composé d'un grand salon et d'une chambre très spacieuse, d'une cuisine indépendante équipée, une salle de bain et wc séparé.
Un beau parquet point de Hongrie habille tout l'appartement.
Une cave et une place de parking au sous-sol complètent ce bien.
!! Pas d'agence immobilière.",| Les Milons| Saint-Cloud| Parc de Saint-Cloud
Vente Appartement,Sèvres (92310),400.000 €,3 pièces 2 chambres 65 m² 6.154 € le m²,"Appartement lumineux de 65m², en étage, au sein d'une petite copropriété calme entourée d'un jardin arboré dans le quartier Ernest Renan, à 5 minutes de la gare de Sèvres Rive Gauche.

L'appartement a été totalement refait à neuf en 2018 par un architecte avec de beaux matériaux (parquet massif, nombreux rangements sur mesure, double vitrage,…).

Il se compose de :
- Une entrée avec placards sur mesure
- Une pièce séjour/salle à manger de 32m² comprenant placards et bibliothèques sur mesure ainsi qu'une cuisine semi ouverte, totalement équipée
- Deux chambres de 10m² et 9m² intégrant des placards et penderies sur mesure. Possibilité de 3e chambre
- Une salle de bain de 7m² avec coin buanderie, grande baignoire, et meuble double vasques
- Des toilettes séparées
- Deux balcons filants entourent le bien (salon/ salle à mange et chambre)
- Une cave de 7,5m²
- Un local à vélo/poussette dans les parties communes

Entre la forêt et le centre-ville, accessibles à pied, ce bien idéalement situé vous offrira le parfait compromis entre le calme du quartier et un accès en 15min à Paris Montparnasse.

Proche toutes crèches, écoles, collège et lycée (avec sections internationales).
Accès à 5 min gare Sèvres Rive gauche, 1min Bus 469, 10 min Bus 179/171 et accès direct N118/A86.

Charges de copropriété 240€/mois (comprenant eau et chauffage collectif) et taxe foncière 1044€.
La chaudière a été changée en 2018.",| Sèvres - Rive Gauche| Sèvres - Ville d'Avray| Bellevue
Vente Appartement,Paris 6e (75006),750.000 €,2 pièces 1 chambre 41 m² 18.293 € le m²,"Au coeur du quartier Montparnasse - Au carrefour Vavin - Raspail.
Vue exceptionnelle sur la Rotonde et le Dôme.
Au 1er étage d""un immeuble Haussmannien de 6 étages.
Appartement de 2 pièces de 41,84 m2, lumineux avec une vue dégagée.

L'appartement se compose d'une entrée indépendante avec placard desservant un séjour de 14m2 avec grande fenêtre et balcon, ainsi que d'une chambre de 14m2 avec double vitrage et balcon communiquant avec une salle d'eau dotée d'une douche et de grands rangements.
Cuisine aménagée et équipée donnant sur une cour intérieure calme.
Wc indépendant avec fenêtre.

Appartement en très bon état - Moulures et parquet.

Idéal pour : Primo accédant, Pied à terre parisien, Profession libérale autorisée.

A proximité immédiate des restaurants, marché et de tous commerces.
Proche des écoles Alsacienne et Stanislas, et de l'Université Panthéon - Assas Paris-2.

Métros : Vavin - Raspail - Notre-Des-Champs
Ligne 4 et 6

Gare Montparnasse 5 min à pied.

Chauffage et eau chaude : individuel électrique.

Paris 6ème - In the heart of Montparnasse - At the crossroads Vavin - Raspail.
Exceptional view on the Rotonde and Dome's restaurants
On the 1st floor of a Haussmannian building of 6 floors.
Apartment of 2 rooms of 41,84 m2, bright with a clear view.

The apartment is composed of an independent entrance with closet leading to a living room of 14m2 with large window and balcony, as well as a bedroom of 14m2 and balcony communicating with a bathroom equipped with a shower and large storage space. Fitted and equipped kitchen opening onto a quiet inner courtyard.
Independent toilet with window.

Apartment in very good condition - Moldings and parquet floor.
Ideal for : First time buyer, Parisian pied a terre, Authorized liberal profession.
Close to the Montparnasse station, restaurants, markets and all commodities.
Close to the Alsacian and Stanislas schools, and to the Pantheon - Assas University Paris",| Vavin| Notre-Dame-des-Champs| Edgar Quinet
