type,adresse,prix,details,description,supplements
Vente Appartement,Saint-Mandé (94160),400.000 €,2 pièces 1 chambre 43 m² 9.302 € le m²,"Proche des commerces, du métro ligne 1 Saint Mandé (10min à pied) et à 3 minutes à pied du bois de Vincennes.

Bel appartement lumineux, traversant, situé au 4eme étage, sans ascenseur.
En très bon état, avec charme de l'ancien, composé :
- d'une entrée avec nombreux rangements
- salle d'eau avec wc
- séjour ouvert sur cuisine équipée, refaite en 2018
- une grande chambre
- une cave complète l'appartement.

Faibles charges : environ 960€ annuel (comprenant l'eau)
Chauffage électrique
Chauffe eau changé en 2022.",| Montempoivre| Alexandra David-Néel| Porte Dorée
Vente Appartement,Paris 3e (75003),850.000 €,3 pièces 1 chambre 60 m²,"L’appartement est seulement à 60 mètres à pied du Musée Picasso
La rue Elzévir est l’une des rues de haute exclusivité du quartier historique du Marais, située tranquillement et très proche à la Rue Parc Royale avec son charme des cafés, bistrots et le Square Léopold Achille, le plus beau petit parc dans le Marais.

Ce très charmant appartement se trouve dans le 3ème étage d'un immeuble bourgeois avec un hall d’entrée élégante, marbré, décoré d’un tapis bordeaux, avec un ascenseur.
Une vue magnifique au Parc et du Musée Bricard complète l’image de cette résidence confortable.
Tout l'appartement est muni avec du parquet et d’un cheminée.
Dans les périodes de l’été on profite de l’écoute de sa fontaine.

Le chauffage dans cet appartement est individuel électrique.
Une grande cave sera inclus.


L’appartement est seulement à 60 mètres à pied du Musée Picasso et est idéalement situé, 2 min à pied pour joindre la rue Franc Bourgeois et la rue Vieille du Temple avec ses épiceries, cafés, boutiques et galeries exclusives, aussi très proche à 5 min à pied à la fameuse Place de Vosges.
La poste est accessible à une lointaine de 2 min à pied dans la rue Vieille du Temple.

L’appartement a l’avantage unique d’être dans une rue très calme dans le quartier historique du Marais et pourtant en pleine cœur à l’accès immédiat de toutes activités, aussi culturelles, comme dans la rue voisine, la rue de Sevigné avec le Musée Carnavalet.
Travaux et rafraîchissement à prévoir.
Agences à abstenir !",| Saint-Paul (Le Marais)| Chemin Vert| Saint-Sébastien - Froissart
Vente Appartement,Paris 16e (75016),210.000 €,1 pièce 13 m²,"Trocadéro, Studette de 13 m² au rez-de-chaussée dans un immeuble avec Gardienne.
En rez-de-chaussée.

Kitchenette équipée (lave-linge, plaques vitrocéramiques, hotte, réfrigérateur, évier,… Etc.)
Un dressing.
Une pièce principale avec parquet, mur en miroir, grande fenêtre donnant sur le jardin de la copropriété.
Salle d'eau (lavabo, douche, toilettes).

Store électrique.
Eau chaude et chauffage de l'immeuble.",| Passy| Boulainvilliers| La Muette
Vente Appartement,Puteaux (92800),995.000 €,6 pièces 4 chambres 130 m² 7.654 € le m²,"Hypercentre de Puteaux au coeur des commerces (Wallace-Théâtre-Jean-Jaurès), Vaste appartement familial en duplex de 130 m2, très lumineux, traversant, comprenant :
Grand salon-Séjour de 42m2 avec un très beau parquet ;
Magnifique cuisine équipée (Miele) et aménagée ;
4 chambres de 17 m2, 15 m2, 11 m2 et 9 m2.
Un bureau de 4 m2
Deux salles de bains et trois wc.

Duplex 2e étage/1er étage avec ascenseur.

Double vitrage assurant un calme absolu.

Chauffage au Gaz avec Chaudière individuelle Frisquet (entretien annuel parfait).

A 20 mètres de l'arrêt de bus
A 200 mètres du tramway T2 et du train Ligne L (Versailles /Saint Lazare)
A 15 min à pied du métro ligne 1
Ile de Puteaux (piscine, tennis, parcs) à 10 min à pied.

Ecoles et collège à proximité à pied.
Conservatoire de musique : 10 min à pied.

Charges de copropriété: 300 € / mois
Taxe foncière : 791 € / an.",| Puteaux| Belvédère| Esplanade de la Défense
Vente Appartement,Houilles (78800),270.000 €,3 pièces 2 chambres 70 m² 3.857 € le m²,"Bel appartement de 70m2 avec parking et cave

Au sein de la résidence Edison, dans une copropriété calme, sans nuisances sonores, au 2ème étage d’un bâtiment de 4 étages, cet appartement de 3 pièces est composé :

D’une entrée desservant un double séjour faisant office de salle à manger et une cuisine avec cellier.
Un couloir avec placard intégré dessert la partie nuit composée de deux chambres dont une avec placard intégré, ainsi qu’une salle d’eau et des toilettes séparées.

Possibilité de se garer dans le parking de la résidence (pas de place nominative).

Une cave complète ce bien

Proche des commodités : écoles, commerces, transports (nombreuses lignes de bus, gare de Houilles à 1,5km)

Radiateurs récents.
Volets roulants manuels.

Les cages d’escaliers viennent d’être rénovées. Le bâtiment étant recouvert d’ardoise, aucun ravalement de façade n’est possible.

Double vitrage.
Chauffage électrique.",| Houilles - Carrières-sur-Seine| Sartrouville| Maisons-Laffitte
Vente Appartement,Paris 15e (75015),995.000 €,4 pièces 3 chambres 95 m² 10.474 € le m²,"Appartement d'architecte rénové fin 2019 avec vue exceptionnelle sur Paris

Au 23ème étage avec conciergerie 24h/24 et sécurisée, Intendant dédié à l'immeuble.

Appartement de 95m² comprenant:
une entrée desservant un vaste séjour exposé est,
une cuisine ouverte aménagée et équipée avec îlot central
une loggia / salle à manger+ salon de musique,
3 chambres/bureau ( exposée Sud),
une salle de bains avec wc,
une salle d'eau avec wc.

L'appartement est baigné de lumière. Matériaux de qualité.
Aucun travaux à prévoir.

Au coeur du quartier Beaugrenelle, à deux pas des quais de seine et de la Tour Eiffel.

Fonctionnel, sans perte de place

Dressing et nombreux placards.

Chauffage collectif et eau chaude inclus dans les charges.
Double vitrage.

Charges de copropriété : 6500 €
Taxe foncière: 1450 €",| Charles Michels| Javel - André Citroën| Avenue du Président Kennedy
Vente Appartement,Montreuil (93100),460.000 €,3 pièces 2 chambres 70 m² 6.571 € le m²,"A 12 min à pied du métro Mairie de Montreuil, dans une copropriété sympa et verdoyante, très belle usine des années trente réhabilité en logements dans les années 90. Un loft de 70 m2 composé d'une très grande pièce de vie avec cuisine ouverte et trois petites pièces pouvant faire office de chambre ou de bureau, d'une salle de bain avec wc. À l'extérieur, dans l'enceinte du bâtiment, jardins et terrasses sont collectifs, vous disposerez également d'un parking extérieur et d'un garage à vélo collectif.
Les commerces et les écoles sont tout proches, petit marché tous les dimanches juste en bas de la rue, la poste et station velib face au bâtiment.",| Aristide Briand| Route de Romainville| Rue de Rosny
Vente Maison,Saint-Leu-la-Forêt (95320),619.000 €,5 pièces 4 chambres 132 m² Terrain 404 m² 4.689 € le m²,"Limite Saint Prix, Maison individuelle de 132m² carrez et 157m² au sol, sur une parcelle de 400m², orientation Sud.

« Côté secteur », Quartier rosaire, recherché et calme, situé à moins de 10min de la Gare et du centre-ville, et de toutes ses commodités (commerces, restaurants, bars), proches des écoles.

« Côté fonctionnel » Maison disposant d'une magnifique entrée cathédrale, d'un double séjour de 33m², un wc suspendu, d'une cuisine entièrement équipée, placard aménagé sous escalier, d'un cellier.

Au rez de chaussée, une spacieuse chambre parentale avec salle de bain et armoire dressing.

A l'étage, pallier desservant 3 chambres, une belle salle de bain douche italienne et jacuzzi, un meuble double vasque, un espace bureau home office pouvant éventuellement devenir une chambre supplémentaire, un dressing et un wc.

« Côté Confort » la Maison est équipée d'un climatiseur réversible, 4 radiateurs électriques à économie d'énergie haut de gamme Campaver, volet roulant électrique à l'étage, Alarme sans Abonnement, Visiophone et ouverture du portillon à distance, Portail et porte de Garage avec ouverture automatique.

« Côté Extérieur » Face sud, un garage est attenant à la maison, une allée en moquette de pierre, Face nord, une terrasse en bois composite.

« Côté Atout » Deux places de stationnement additionnel sur la parcelle de la maison.

Premier contact par e-mail, photos supplémentaires sur demande.

Direct propriétaire.",| Saint-Leu la Forêt| Vaucelles| Gros Noyer - Saint-Prix
Vente Appartement,Paris 16e (75016),94.500 €,1 pièce 9 m²,"Dans un bel immeuble en pierre de taille, très agréable studette de 9,14 m2 Loi Carrez en très bon état comprenant une pièce principale avec coin cuisine et douche.
wc sur le palier.

Située au 8e étage sans ascenseur le studio est très lumineux et dispose d'une agréable vue dégagée plein sud, sans vis-à-vis.

Il est situé proche des commerces et à 3 min à pied du métro Michel Ange Molitor (lignes 6 et 9).
Double vitrage, chauffage collectif, gardien, digicode.",| Exelmans| Michel-Ange - Molitor| Porte d'Auteuil
Vente Maison,Mézy-sur-Seine (78250),298.000 €,6 pièces 4 chambres 133 m² Terrain 419 m² 2.241 € le m²,"Maison familiale atypique au cœur du village, à côté de l'école et de l'arrêt de bus.
Construite en 1948, 133m2 (loi carrez), mitoyenne d'un côté, avec garage.
Double vitrage sur toutes les fenêtres.

Charme de l'ancien, hauts plafonds, 1 cheminée fonctionnelle, parquets de chêne... Pas de gros œuvre, mais prévoir rafraîchissement !

Rez-de-chaussée: entrée (7m2), cuisine à rafraîchir (9,2m2), salon avec cheminée (19m2), plus une salle à manger (12m2) donnant accès à la fois au jardin et à la cour, ainsi qu'un bureau en enfilade (10m2) pouvant facilement être réunis avec la salle à manger. Placard de 2m2.

1er étage: dégagement (5,2m2) donnant sur une grande terrasse de 24m2 avec accès jardin, une salle de bain lumineuse avec un premier wc (6,2m2, à rafraîchir), une chambre de 14 m2 avec dressing (2m2), une deuxième chambre de 14m2. Parquet en chêne massif.

2ème étage mansardé de 28m2 loi carrez comprenant: dégagement avec multiples possibilités de rangements, une chambre avec mezzanine, une petite chambre ou bureau, une salle de douche avec un deuxième wc.

Sous-sol de 27m2 (2 pièces), garage pouvant garer une voiture (17,5m2).

Gares SNCF Meulan-Hardricourt (1km) ou Les Mureaux (4km, RER E actuellement en construction).",| Meulan - Hardricourt| Les Mureaux| Juziers
Vente Appartement,Viroflay (78220),338.000 €,2 pièces 1 chambre 46 m² 7.348 € le m²,"Appartement neuf de 46 m2. construction de 2022, belles prestations et matériaux choisis
Ce grand 2 pièces se décline avec son séjour et baie vitrée, la cuisine ouverte, la chambre très spacieuse, la salle d'eau et wc séparés
Place de parking souterrain, Chauffage au gaz individuel. local à vélo.

L'appartement est situé sur la commune de Vélizy proche Viroflay.
• Vous bénéficiez d'un logement neuf sans travaux à faire.
• Vous bénéficiez d'un logement avec des normes techniques et environnementales dernière génération.
• Vous bénéficiez de l'exonération de la taxe foncière pendant une période de 2 ans à partir de la date d'achèvement (formulaire H2 à remplir et à présenter au centre de finance publique correspondant)
• Vous bénéficiez des garanties par le constructeur. (Garantie décennale et et dommage ouvrage)

Crèche et commerces à moins de 5 min. à pieds. parc municipal très proche.
Grande facilité de transport: à 850m de la gare: (Ligne L, RER, et T6) Viroflay - Rive Gauche. Bus à proximité: le 171 qui traverse les communes deVersailles, Viroflay, Chaville, Sèvres (Paris); et la ligne 6 bus, Versailles - Satory.",| Viroflay-Rive-Droite| Viroflay-Rive-Gauche| Porchefontaine
Vente Appartement,Aubervilliers (93300),390.000 €,4 pièces 3 chambres 79 m² 4.937 € le m²,"Appartement neuf situé à Aubervilliers, à deux pas du canal Saint-Denis.
T4 de 79 m2 au 4e étage.
Deux terrasses : 1 de 13,5 m2 et une de 2,2. m2
Sans vis à vis.
Une place de parking en sous-sol.
À proximité du métro 12 mairie d'Aubervilliers nouvellement inauguré.
Construction en voie d'achèvement - livraison fin 2022.",| La Plaine - Stade de France| Front populaire| La Courneuve - Aubervilliers
Vente Appartement,Bonneuil-sur-Marne (94380),205.000 €,2 pièces 1 chambre 42 m² 4.881 € le m²,"Appartement T2 neuf de 42 m² en construction (achat sur plan, logement VEFA) dont la livraison est prévue pour le 4ème trimestre 2022
Il est composé d'un séjour avec cuisine ouverte, d'une chambre, d'une salle de bain avec baignoire et wc, d'un balcon de 3,96 m² accessible par le séjour, d'une place de parking en sous-sol sécurisé et d'un ascenseur.
L'appartement fait partie du Projet Essentiel de Nexity situé à Bonneuil sur Marne. Il est situé dans une résidence de 151 logements sur 4 bâtiments. L'appartement est situé dans le bâtiment numéro 4 au 2ème étage sur 5.

L'état d'avancement des travaux en est à 95%, à l'étape de revêtement des sols.
La livraison initialement prévue au 2ème trimestre 2022 a été repoussée au 4ème trimestre 2022.
Appartement neuf jamais habité a aménager selon vos souhaits, la cuisine n'étant pas équipée.
La visite de pré-livraison aura lieu en septembre 2022.

La résidence est située à moins de 10 min à pieds en face du centre commercial avec le supermarché Leclerc et différents commerces.

Coté transport la gare de métro ligne 8 Créteil Pointe du Lac est à 20min à pieds ou accessible en bus (n° 393) avec l'arrêt en face de la résidence. La gare de RER A Sucy Bonneuil est accessible en 12min avec le bus 308, la gare de RER C Choisy le Roi avec le bus 393 et la gare de RER D Créteil-Pompadour accessible avec le bus 393 également.",| Créteil - Pointe du Lac| Sucy - Bonneuil| Boissy-Saint-Léger
Vente Appartement,Vincennes (94300),510.000 €,3 pièces 2 chambres 60 m² 8.500 € le m²,"Traversant, lumineux avec vue sur jardin arboré, dans petite copropriété calme et bien entretenue.

3 pièces 60 m², 2 chambres, espace bureau ou dressings,

Aucune perte de place. Idéal famille avec jeunes enfants.
1er étage sans ascenseur.

Les + : proximité métro ligne 1, bus 118 et 124, écoles, collège et lycée international, bois de Vincennes. Quartier commerçant.",| Château de Vincennes| Fontenay-sous-Bois| Croix de Chavaux (Place Jacques Duclos)
Vente Maison,Champigny-sur-Marne (94500),750.000 €,4 pièces 2 chambres 90 m² Terrain 469 m²,"Située dans le quartier résidentiel et prisé de Polangis, en cours d'aménagement, que vous découvrirez cette belle meulière début XXème siècle, non mitoyenne et implantée sur l'une des plus grandes parcelles du quartier arborée et fleurie, autour d'une terrasse exposée sud-est et tout cela au calme.

Le quartier Polangis propose un cadre de vie privilégié, à proximité du Golf et du Tennis du Parc du Tremblay, du marché de Joinville-le-Pont, des services de proximités et des commerçants.

Vous serez à 5 mn des bords de Marne et de la guinguette Chez Gégène ; point de départ pour des balades à vélo, vous amenant, via des chemins de halage, à la base nautique de Vaires-sur-Marne ou encore à la découverte du Bois de Vincennes.

Cette maison de 90 m² (Carrez) en R+1, 4 pièces (hauteur sous plafond de 2,75 m), avec sous-sol total et combles, présente un fort potentiel (extension possible d'environ 50 m²), est composée :

En rez-de-chaussée ; entrée, cuisine aménagée et équipée Schmidt, donnant un accès direct sur le jardin et sa terrasse, salon / salle à manger qui profitent d'une très belle luminosité à toute heure de la journée grâce à des ouvertures traversantes, 1er wc avec son lave-mains.

En étage : 2 chambres, dressing, salle de bain et 2ème wc.

En sous-sol : Chaufferie (chaudière gaz Frisquet), bureau, buanderie et cave à vin.

Notre bien est complété d'un garage 1 voiture + 1 moto ; un garage à vélo et d'un atelier, une pièce de stockage et d'une jardinerie ; l'ensemble représentant environ 44 m².

Il est possible de stationner jusqu'à 3 véhicules sur la parcelle et également pour les amateurs de pétanque, de faire de belles parties à l'ombre.

Les plus : un lieu paysagé, calme, lumineux, bien agencé, sans perte d'espace, traversant et propice pour vivre en famille et partager d'agréables moments en week-end.

Alors venez le constater par vous-même.
Agence s'abstenir.",| Joinville-le-Pont| Nogent-sur-Marne| Saint-Maur - Créteil
Vente Maison,Boulogne-Billancourt (92100),3.790.000 €,12 pièces 6 chambres 447 m² Terrain 376 m² 8.479 € le m²,"Ensemble immobilier.
Situé dans une voie privée, excellentes conditions , rénovation récente de qualité, toitures et ravalement neufs, fenêtres blindées *fineline* composée :
d'une maison principale de 320 m² avec piscine intérieure en mosaïque d'OPIO et 50 m² de sous-sol à aménager,
d'un bureau de 48 m² déclaré plus réserve de 40 m², d'une seconde maison de 80 m² ( surélévation possible ), surface totale utile y compris sous sol 547 m²,
un parking complémentaire boxé à 200 mètres complète ce bien ( 40.000 euros )situation géographique Boulogne centre.",| Pont de Sèvres| Boulogne - Pont de Saint-Cloud (Rhin et Danube)| Billancourt
Vente Appartement,Paris 14e (75014),548.500 €,2 pièces 1 chambre 50 m² 10.970 € le m²,"Quartier St Joseph, dernier étage avec ascenseur, exposition sud-est, lumineux et calme donnant sur le jardin de la copropriété, refait à neuf.
Ce charmant logement comprend : une entrée avec placard, cuisine équipée, salon parqueté sur jardin, chambre spacieuse avec placard, salle d'eau haut de gamme, wc séparés.
Chauffage collectif, double vitrage.
Tous commerces, bus, métro au pied de l'immeuble.
Copropriété de 30 lots, bien entretenue, sans procédure en cours.
Une cave complète ce bien.",| Plaisance| Pernety| Didot
Vente Appartement,Le Pré-Saint-Gervais (93310),595.000 €,3 pièces 2 chambres 70 m² 8.500 € le m²,"Appartement avec balcon dans la Villa du Pré.

Appartement de charme (parquet d'origine en bon état, moulures peintes au plafond, carrelage ancien bien conservé).

Il est composé d'une entrée distribuant, d'une part, un vaste salon/salle à manger doté d'un balcon avec vue dégagée, une cuisine semi-ouverte sur la salle à manger, et deux chambres (dont une traversante mais pouvant être rendue indépendante).

Une salle de bains et un wc séparés complètent l'appartement.

L'appartement, situé au premier étage, bénéficie d'une grande hauteur sous plafond et est très lumineux et calme.

Il est vendu avec deux grandes caves.

L'immeuble est une petite copropriété rénovée de 8 appartements dans une ancienne maison de maître.

Plus de renseignements et de photos possibles en MP.

Copropriété bien entretenue (réfection récente de la toiture, des façades et de la cage d'escalier).

Chaudière gaz indépendante. Compteurs d'eau indépendants. Électricité aux normes. Fenêtres avec double vitrage.

Les + :
- Calme et vue dégagée sur les maisons de la Villa du Pré, ambiance village.
- Proximité immédiate de la mairie et du centre ville avec ses commerces (commerces de proximité, marché, restaurants, etc...) et des écoles et du collège.
- Périphérique à 5 min en voiture, facilement accessible.
- Métro ligne 11 à proximité (Porte des Lilas).

Copropriété de 25 lots à usage d'habitation, pas de procédure en cours.

Taxe foncière : 1.584 euros.
Charges de copropriété : environ 180 euros par mois.


Agences et mandataires s'abstenir absolument.",| Hôpital Robert-Debré| Porte des Lilas| Pré Saint-Gervais
Vente Appartement,Paris 19e (75019),125.000 €,1 pièce 11 m²,"Studio Calme sur cour 3eme étage sans ascenseur. Métro Crimée ou Ourcq.

Au cœur du quartier vivant et dynamique du canal de l'Ourcq, rue de l'Ourcq dans une petite copropriété un immeuble bien tenue avec gardien.

Joli studio 11 m² situé au 3eme étage sur cour, calme et lumineux, constitué d'un coin cuisine équipé, salle de douche avec wc, le chauffage est électrique.
Libre de toute occupation. Vient d'être rénové.

La surface est de : 10.21 m² carrez.
La taxe foncière de 199 €.

Équipement :
Chauffe-eau
wc
Fenêtre double vitrage.
Porte serrure 3 points
Cuisine équipée
Connecté fibre
VMC salle d'eau
Électricité aux normes ( compteur Linky )
Etagères.",| Crimée| Corentin Cariou| Riquet
Vente Appartement,Paris 5e (75005),430.000 €,2 pièces 1 chambre 29 m² 14.828 € le m²,"Très beau 2 pièces de 29 m² au 1er étage d'un immeuble avec beaucoup de cachet, à deux pas de la Sorbonne et de l'ultra centre de Paris : au cœur du quartier Latin.
Parfait état et entièrement meublé.

Se compose d'une entrée, cuisine équipée (lave-linge / sèche-linge / lave-vaisselle), salle d'eau, wc, salon, chambre, grands rangements.

Électricité individuelle.
Fibre installée.

Le pied-à-terre idéal, investissement locatif (1 200 €/ mois) ou profession libérale.

Agence et mandataires refusés.
Uniquement par mail",| Maubert - Mutualité| Cluny - La Sorbonne| Cardinal Lemoine
Vente Appartement,Paris 7e (75007),128.000 €,1 pièce 9 m²,"Rue de Grenelle.
Métro École Militaire. Entre le Champs de Mars et la Rue Clerc.

Studette meublée au 6e étage, (ascenseur jusqu'au 5ème )
Coin cuisine, douche, mezzanine couchage.
Surfaces : 8,4 m2 Carrez / 11 m2 au sol / et + de 22 m3.
habitable et louable de suite.
Vue sur rue - exposition sud.

Charges : 120 € / trimestre
Foncier : 230 € / an.",| Ecole Militaire| La Tour-Maubourg| Pont de l'Alma
Vente Appartement,Paris 10e (75010),1.190.000 €,4 pièces 2 chambres 86 m² 13.837 € le m²,"Rue Beaurepaire, particulièrement prisée pour ses commerces, entre République et Canal Saint-Martin, bel appartement lumineux et traversant de 4 pièces pour 2 chambres au 1er étage. Immeuble Post-Haussmannien de standing en pierre de taille avec concierge et ascenseur.

Majorité de propriétaires occupants, cour pavée et façade rénovées récemment, pas de travaux à prévoir puisque la façade sur rue a également été entièrement reprise. Vous apprécierez la porte cochère plein-cintre, les consoles et dais soignés, ainsi que les ornements habillant la façade.

Cet appartement cosy a fait l'objet d'une rénovation complète, il est constitué d'une entrée donnant sur une pièce à vivre de plus de 35 m² avec cuisine US aménagée exposée à l'Ouest, d'une chambre attenante avec cheminée en marbre, d'un dégagement distribuant la buanderie, le wc séparé, la salle de bains proposant au choix baignoire et douche, la chambre calme sur cour.
Niveau confort, que du haut de gamme ! Parquet massif, chaudière à condensation pour un excellent DPE, faïence de qualité, cuisine aménagée, verrière, porte blindée, nombreux placards, radiateurs haute performance, plan de travail en granit.
Une cave saine facilement accessible et un local vélo complète ce bien.

Premier contact par mail uniquement, visite 3D immersive disponible, visite possible après un premier contact, dossier complet disponible sur demande.",| Jacques Bonsergent| République| Goncourt (Hôpital-Saint-Louis)
Vente Appartement,Paris 19e (75019),490.000 €,2 pièces 1 chambre 47 m² 10.426 € le m²,"Idéalement situé à quelques pas du métro Jaurès, du bassin de la Villette et des commerces de l'avenue Secrétan, à 10 min à pied du parc des Buttes Chaumont.
Découvrez cet appartement de 2 pièces, 47.7 m², récemment refait à neuf, situé au 3ème étage avec ascenseur d'un immeuble de style Haussmannien.
Ce bien se compose d'une vaste entrée-salle de séjour, d'une cuisine aménagée, d'une chambre spacieuse de 15 m², dressing attenant aménagé sur mesures, une salle de bain, une buanderie avec rangements sur mesures, wc séparés avec point d'eau. Ce bien traversant, avec une belle hauteur sous plafond, dispose du charme de l'ancien avec parquet, cheminées, moulures. Aucune perte de place, nombreux rangements.
Une cave complète ce bien.
Aucun travaux de copropriété voté (ravalement et toiture récents).
Date du DPE : 2017. A remettre à jour (amélioration de l'isolation depuis)
En cas d'absence de réponse, vous pouvez me laisser un message vocal ou un sms avec vos coordonnées, je vous rappellerai. Merci",| Jaurès| Bolivar| Stalingrad
Vente Maison,Drancy (93700),490.000 €,9 pièces 7 chambres 286 m² Terrain 240 m² 1.713 € le m²,"Maison individuelle de 9 pièces habitables, 2 salles de bains, 3 wc déployés sur 4 niveaux (88m2 les 3 premiers et 22m2 au 4ème niveau), avec un balcon, 2 splendides vérandas et un garage double, d'une surface totale d'environ 286 m².

Située dans un quartier pavillonnaire calme à Drancy, proche commodités, RER et transports en commun.

Elle est traversante : orientée sud-ouest côté rue et nord-est, côté jardin. La maison est mitoyenne d'un seul côté, et comprend : 2 chambres, séjour, cuisine, salle de douche, wc séparés et une véranda spacieuse et lumineuse au rez-de-chaussée, 4 chambres, salle de bain avec baignoire, wc séparés, une véranda spacieuse et un balcon au premier étage et une chambre double dans les combles isolées et munies de 2 fenêtres.
Un garage (pour deux voitures en enfilade), un atelier, une pièce avec porte-fenêtre indépendante, une grande cuisine avec fenêtre, une petite cave et wc séparés au sous sol/entresol complètent l'ensemble. Le chauffage est au gaz.

Le jardin (de 65 m2) est muni d'une terrasse, d'une pelouse ainsi que d'un bâtiment annexe (d'environ 20 m2 potentiellement aménageable en studio indépendant). La totalité du terrain fait 240 m2.

Des travaux de modernisation sont à prévoir (dont le prix bas par rapport à la surface habitable tient compte), mais la maison est habitable telle quelle. Idéal pour colocation, ou grande famille, ou pour une profession libérale.
Vente de particulier à particulier exclusivement. !! Les professionnels de l'immobilier sont priés de s'abstenir.",| Drancy| Le Bourget| Escadrille Normandie-Niémen
Vente Appartement,Cachan (94230),159.000 €,1 pièce 27 m² 5.889 € le m²,"Studio idéalement situé à 10 min en bus de Paris ( métro, tram, bus) et 15 min à pieds du RER B la place.

L'appartement de 27 m2 est composé d'une grande pièce à vivre lumineuse et d'une mezzanine soit 35 m2 au total et d'une salle de bain wc.

Le bien se trouve au rez-de-chaussée d'un immeuble de 3 étages avec cave, très calme avec vue dégagée sur cour arborée.

Belle hauteur sous plafond, cuisine équipée et chauffage individuel électrique.

L'immeuble a été raccordé à la fibre en 2021.
Idéal pour un premier achat ou investisseur.
La taxe foncière s'élève à : 578 €
La taxe trimestrielle de copropriété : 245 €",| Arcueil - Cachan| Laplace| Bagneux
Vente Maison,Bazainville (78550),455.000 €,6 pièces 5 chambres 140 m² Terrain 565 m² 3.250 € le m²,"Sous offre.

Située dans une petite commune très calme à 7-8 km d'Houdan, de ses commerces, écoles, hôpital, gare d'Houdan ligne ""N"" et de toutes les commodités.


Très belle maison indépendante de 140 m2 sur son terrain arboré, clôturé et sans vis-à-vis de 465 m2 en très bon état avec deux terrasses : une de 30 m2 en pin (à l'arrière) et une de 15 m2 en dalle béton (à l'avant). Sur deux niveaux, elle se compose de:

- Au rez-de-chaussée : une entrée donne accès immédiatement sur la pièce principale avec salon / séjour et cuisine équipée (avec carrelage imitation bois) ouverte avec espace cellier / buanderie, deux chambres (dont une avec salle d'eau privative) et donnant sur terrasse de 30 m2.

- A l'étage : palier en mezzanine desservant la partie nuit avec trois autres chambres sous combles (dont une chambre avec débarras / rangement) ainsi qu'une salle d'eau avec douche et wc.

Chauffage électrique. Double vitrage.

Garage indépendant de 25 m2.


Taxe foncière : 1150 E",| Tacoignières - Richebourg| Orgerus - Béhoust| Houdan
Vente Appartement,Paris 11e (75011),429.000 €,2 pièces 1 chambre 42 m² 10.214 € le m²,"2 pièces 41.28m² Carrez. Situé au 1er étage, appartement traversant.

Le bien se compose :
- d'une grande pièce de vie avec une cuisine ouverte de 27m².
La cuisine est fonctionnelle (lave vaisselle, four, plaques inductions, micro-onde, lave-linge), avec de nombreux placards.
Le salon est spacieux : j'y ai installé une console qui s'ouvre en une grande table pour télétravailler ou faire des diners.
- d'une chambre de 10m2 donnant sur la cour intérieure. J'y ai installé de nombreux placards/penderies.
- d'une salle d'eau avec fenêtres donnant sur la cour intérieure.

La chambre et la salle d'eau ont été rénovées par un architecte d'intérieur en décembre 2019.
De nombreux rangements sont intégrés dans toutes les pièces.

Habitable en l'état. Pas de travaux à prévoir.

Système de chauffage individuel avec des radiateurs à inertie et un chauffe eau extra plat changés en décembre 2019.

Local à vélos dans la cour.

Cage d'escalier refaite en 2020.

Les charges de copropriété sont de 126€/mois
La taxe foncière est de 390€/an.

A proximité de tous commerces et métros (métro parmentier (l.3), Couronnes (l.2), Goncourt (l.11), Oberkampf (l.9 et l.5)). Le quartier est en évolution avec l'installation de nombreux primeurs (producteurs locaux, anti-gaspi, etc), boulangerie, boucherie, et la présence de supermarchés dans les environs.

Agences s'abstenir !",| Parmentier| Couronnes| Goncourt (Hôpital-Saint-Louis)
